mpn,manufacturer,family,application,replacement_offered,source,availability,withdrawal,last_time_buy,last_time_ship,reason,source_notice,source_url
SC68376BGCAB20,NXP,SC68376,industrial / powertrain control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC912D60ACPVE8,NXP,HC12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC912DG128ACPVE,NXP,HC12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC912DT128ACPVE,NXP,HC12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCHC912B32CFUE8,NXP,HC12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MC912D60ACFUE8,NXP,HC12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2027-07-30,2029-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
S912B32E4CFUE8,NXP,S12,industrial embedded control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8247CVRMIBA,NXP,PowerQUICC II,industrial networking / comms controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8248CVRTIEA,NXP,PowerQUICC II,industrial networking / comms controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8272VRTIEA,NXP,PowerQUICC II,industrial networking / comms controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8275CVRMIBA,NXP,PowerQUICC II,industrial networking / comms controllers,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8270CVRMIBA,NXP,PowerQUICC II,industrial networking,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-10-30,2027-10-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8323CVRADDCA,NXP,PowerQUICC II Pro,industrial networking / edge control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8343CVRADDB,NXP,PowerQUICC II Pro,industrial networking / edge control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8358CVRAGDDA,NXP,PowerQUICC II Pro,industrial networking / edge control,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8321CVRADDCA,NXP,PowerQUICC II Pro,industrial networking,none,Sole Source,Non-Manufacturable,Full Withdrawal,2027-01-30,2028-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC8347CVRAGDB,NXP,PowerQUICC II Pro,industrial networking,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-10-30,2027-04-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC5200CVR400B,NXP,MPC5200,rail / industrial embedded,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MPC5200VR400B,NXP,MPC5200,rail / industrial embedded,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCIMX233CJM4C,NXP,i.MX,industrial HMI / display,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCIMX502CVM8B,NXP,i.MX,industrial HMI / display,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCIMX507CVM8B,NXP,i.MX,industrial HMI / display,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCIMX508CVK8B,NXP,i.MX,industrial HMI / display,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
MCF52277CVM160,NXP,ColdFire,industrial embedded,none,Sole Source,Non-Manufacturable,Full Withdrawal,2026-07-30,2027-01-30,Legacy technology; production tools/processes at end-of-support by suppliers,NXP PCN 202601026DN (issued 30-Jan-2026),https://www.nxp.com/pcn/202601026DN
ADSP-21065LCSZ-240,Analog Devices,ADSP-21065L,SHARC DSP / industrial signal processing,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
ADSP-21065LKCAZ264,Analog Devices,ADSP-21065L,SHARC DSP / industrial signal processing,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
ADSP-21065LKSZ-264,Analog Devices,ADSP-21065L,SHARC DSP / industrial signal processing,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
AD91205Z,Analog Devices,ADSP-21065L,SHARC DSP / industrial signal processing,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
ADSP-2185LBSTZ-210,Analog Devices,ADSP-2185L,fixed-point DSP / industrial control,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
ADSP-2187LBSTZ-210,Analog Devices,ADSP-2187L,fixed-point DSP / industrial control,not pin-compatible; requires hw+sw redesign,Sole Source,Last time buy,Full Withdrawal,2025-02-28,2026-02-27,TSMC discontinued the SRAM process required for these products,ADI PDN 24_0080 Rev - (published 29-Aug-2024),https://www.analog.com/media/en/PCN/ADI_PDN_24_0080_Rev_-_Form.pdf
