mpn,manufacturer,lifecycle,lifecycle_class,seller,authorized,quantity,unit_price,currency,price_qty,price_break_count,retrieved_at,authorized_stock,authorized_offers,broker_stock,median_price,price_ratio,seller_obsolete_share,flags
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,22550,57.86,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,1.238,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,22350,29.6782,USD,1,4,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.843,,phantom_stock
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,22135,41.02,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.165,,phantom_stock
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ZTZ Technology Limited,False,22062,19.358,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.819,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,20352,31.05,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.134,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,19991,42.40747,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,1.793,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,19706,18.0,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.761,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,19502,19.3575,USD,1,5,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.818,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,19300,16.37051,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.598,,outstocks_channel
DSP56F827FG80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lixinc,False,19212,19.78,USD,1,2,2026-08-31T20:44:36+00:00,1546,4,379548,23.65,0.836,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lixinc,False,17492,40.95573,USD,1,2,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.634,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,16821,16.733,USD,1,5,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.474,,underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ICPartonline,False,16616,18.5455,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.527,,phantom_stock
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lingto Electronic Ltd.,False,16118,42.55,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.208,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,15075,34.84,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.272,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,"Fmall Co., Limited",False,14350,26.2111,USD,1,4,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.957,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Component Stockers USA,False,12551,24.51,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.978,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,10805,18.5455,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.527,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,10767,34.84,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.272,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lixinc,False,9414,35.17,USD,1,2,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.998,,phantom_stock
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,9352,41.3471,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.174,,phantom_stock
DSP56F807PY80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,9065,17.7364,USD,7,5,2026-08-31T20:44:32+00:00,2813,4,182053,41.646,0.426,,underpriced
DSP56F801FA60E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,8986,2.0521,USD,7,5,2026-08-31T20:44:27+00:00,20549,11,175207,13.736,0.149,,underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Aztech,False,8599,19.49,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.777,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,8393,16.37051,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.598,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,7702,14.6352,USD,7,5,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.415,,underpriced
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lixinc,False,7665,47.82,USD,1,2,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,1.023,,outstocks_channel
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,7581,26.531,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.568,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Cytech Systems,False,6000,60.432,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.822,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Lixinc,False,5461,38.99,USD,1,2,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.176,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,5357,30.6274,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.924,,outstocks_channel
DSP56F801FA80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,5007,6.8912,USD,1,5,2026-08-31T20:44:28+00:00,11913,10,251970,14.9699,0.46,,underpriced
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,4723,19.9094,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,0.794,,outstocks_channel
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ODG (Origin Data Global),False,4410,58.7786,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,1.258,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Ansinor,False,4309,25.63098,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.022,,outstocks_channel
DSP56F801FA80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Worldway Electronics,False,4246,5.9998,USD,7,5,2026-08-31T20:44:28+00:00,11913,10,251970,14.9699,0.401,,underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,IC Components Ltd.,False,4038,26.91,USD,1,1,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.982,,outstocks_channel
DSP56F801FA60E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,SHENGYU ELECTRONICS,False,3845,1.2251,USD,1,5,2026-08-31T20:44:27+00:00,20549,11,175207,13.736,0.089,,underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Ansinor,False,3247,61.59021,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.749,,phantom_stock
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Bettlink,False,2900,28.15251,USD,1,5,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.123,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ZTZ Technology Limited,False,2681,16.733,USD,1,5,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.474,,underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ZTZ Technology Limited,False,2681,18.546,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.527,,phantom_stock
DSP56F807VF80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ZTZ Technology Limited,False,2681,23.998,USD,1,5,2026-08-31T20:44:33+00:00,252,3,247913,46.7305,0.514,,outstocks_channel
DSP56F807PY80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,IC Components Ltd.,False,2605,13.732,USD,1,1,2026-08-31T20:44:32+00:00,2813,4,182053,41.646,0.33,,underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,YIC International,False,2423,26.1301,USD,1,1,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.742,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Cytech Systems,False,2250,46.032,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.681,,outstocks_channel
MC68331CAG20,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Vigor Components,False,1938,40.95573,USD,1,1,2026-08-31T20:44:38+00:00,74,3,260990,25.0705,1.634,,outstocks_channel
DSP56F801FA60E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Anlinkda,False,1784,4.532,USD,1,5,2026-08-31T20:44:27+00:00,20549,11,175207,13.736,0.33,,underpriced
DSP56F807PY80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,YIC International,False,1783,13.6637,USD,1,1,2026-08-31T20:44:32+00:00,2813,4,182053,41.646,0.328,,underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ALLICDATA ELECTRONICS,False,1616,18.97,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.572,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Cytech Systems,False,1500,52.14,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.48,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,YIC International,False,1500,26.8872,USD,1,1,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.982,,outstocks_channel
DSP56F807PY80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ALLICDATA ELECTRONICS,False,1485,18.48,USD,1,5,2026-08-31T20:44:32+00:00,2813,4,182053,41.646,0.444,,underpriced
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,IC Components Ltd.,False,1462,26.1824,USD,1,1,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.743,,phantom_stock
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Bettlink,False,1400,45.8009,USD,1,5,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.381,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Ansinor,False,1263,29.89043,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.091,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Vigor Components,False,1185,35.17,USD,1,1,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.998,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Anlinkda,False,1122,35.317,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.289,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Fly-Wing Technology,False,1086,35.1032,USD,1,3,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,0.997,,phantom_stock
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Vigor Components,False,1019,38.99,USD,1,1,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,1.176,,outstocks_channel
DSP56F805FV80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Bettlink,False,1000,39.66108,USD,1,5,2026-08-31T20:44:31+00:00,0,1,169418,35.2235,1.126,,phantom_stock
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,RC Electronics,False,978,31.669,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.156,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Bettlink,False,900,34.10153,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.245,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,XingHuan International,False,660,15.525,USD,1,1,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.567,,outstocks_channel
DSP56F801FA60E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Bison Technologies,False,647,3.71,USD,100,3,2026-08-31T20:44:27+00:00,20549,11,175207,13.736,0.27,,underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ALLICDATA ELECTRONICS,False,434,15.1,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.551,,outstocks_channel
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Microchip USA,False,354,26.736856,USD,50,4,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.806,,outstocks_channel
DSP56F801FA80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Microchip USA,False,321,0.272,USD,3500,2,2026-08-31T20:44:28+00:00,11913,10,251970,14.9699,0.018,,underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ODG (Origin Data Global),False,320,44.9102,USD,1,5,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.64,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,ALLICDATA ELECTRONICS,False,213,15.44,USD,1,5,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.438,,underpriced
MC68331CAG16,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Classic Components,False,192,26.052,USD,100,3,2026-08-31T20:44:37+00:00,8,2,187098,33.1641,0.786,,outstocks_channel
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,GreenTree Electronics,False,177,0.0357,USD,20000,1,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.001,,underpriced
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Microchip USA,False,134,27.872,USD,50,4,2026-08-31T20:44:35+00:00,3,2,115695,27.391,1.018,,outstocks_channel
DSP56F826BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Fly-Wing Technology,False,95,3.1844,USD,1,4,2026-08-31T20:44:35+00:00,3,2,115695,27.391,0.116,,underpriced
DSP56F801FA80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,44896,18.72,USD,1,5,2026-08-31T20:44:28+00:00,11913,10,251970,14.9699,1.251,,
DSP56F801FA80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,43510,18.72,USD,1,5,2026-08-31T20:44:28+00:00,11913,10,251970,14.9699,1.251,,
DSP56F801FA60E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Antdic Electronics,False,41577,6.9426,USD,1,5,2026-08-31T20:44:27+00:00,20549,11,175207,13.736,0.505,,
DSP56F803BU80E,NXP Semiconductors,Obsolete (Last Updated: 3 weeks ago),OBSOLETE,Axis Part Limited,False,38187,27.19178,USD,1,1,2026-08-31T20:44:29+00:00,3841,7,254205,35.2796,0.771,,
